"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Central African Republic","CAF","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","130617229.484718","146670243.643065","159833288.793422","205381916.460526","177384691.936142","170931014.059103","162168742.837019","151939551.901035","184493285.401777","188327716.422361","199506507.697066","195989085.418704","214311038.646167","220373704.770264","181594276.497202","167417350.57278","186175730.186822","179033067.943722","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","7196625911.43785","7489271531.45803","7776366032.74198","8473428497.69949","9895803948.57022","10547881330.3791","12334413913.6081","13769659175.2167","15832234152.4545","17681000912.9143","21129443343.8207","22506200170.0147","25237151457.6552","32455597147.9297","42366213801.9029","41584906947.2585","47979132921.8885","51866646311.7552","57723004118.3471","71474545965.2057","82844652101.5988","90563312174.6595","90756868286.7852","93571186863.7882","110693007393.774","110848895992.887","110520017616.835","121633296484.611","146071246824.009","155423428594.079","164487755237.074","162115302508.853","166932901952.854","179310558266.948","205352348234.492","237646657777.669","253158846241.76","273509279759.778","274817063083.119","305841137899.275","353353890346.148","326879982904.173","323110237326.055","350306047069.6","411397340551.842","471558999695.706","523771215673.246","574189078526.769","602021700243.056","441097707277.606","530338143924.695","616835225945.162","624044848133.975","629338125469.179","645457879312.032","562771470087.214","549861730393.009","599670973203.209",
"Central Europe and the Baltics","CEB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84339857201.7867","98382199813.3051","133001223042.406","140802115822.569","147230273939.291","162232966805.333","154733040298.132","176638629205.198","196073912759.317","214503556167.086","274804259008.154","378261048999.712","446183010002.942","547229556846.875","695442497860.985","833431179107.966","655807734257.199","738501118323.961","879474405638.485","855590700866.827","917243220549.451","962611106205.956","851262365705.029","885476021436.078","996603897403.185",
"Switzerland","CHE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","30234014010.2322","41347783596.5253","48588878276.6854","59462335113.3432","59250522212.1214","55011203543.9495","52918295993.287","56153098656.4474","57026402808.1599","74842266185.6527","88354839250.4874","99335064580.0588","104397450983.389","125718426625.235","121693942898.32","127349783284.009","122178643536.325","132123777822.866","154894102242.271","154946885542.997","155528805822.317","166557375775.228","170774315819.487","201955158775.293","192850297567.366","189307436128.784","233241525278.41","276117611625.102","322679518559.095","353684021786.769","417383595105.776","436774515759.069","404179092400.525","497080952399.125","563837068892.445","562639815048.158","607243161412.335","603135280036.442","566558584279.56","577790582902.371","575146347104.195",
"Channel Islands","CHI","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","1842000000","2425000000","2621000000","2984000000","4746000000","6276000000","5614000000","5154000000","4831000000","4636000000","4697420000","5460660000","6523800000","8328900000","9855450000","10704900000","11644400000","12925100000","12215200000","15000400000","20226400000","21056424447.4761","22931915598.1874","21470916280.1911","21943547003.2402","24890789078.776","23868463511.7837","23679041178.8201","28268701175.9971","40999796182.9231","51389707863.8054","70465652409.1498","83579731830.1949","81032245861.5711","69373951163.182","88814906593.7809","101427647432.376","98427516489.5617","97267392050.4154","94678061037.9923","79395129879.3891","78014184087.6697","88304492882.7915",
"China","CHN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","24729000000","24735000000","28724000000","29641000000","30683000000","40147000000","47381000000","49717000000","60391000000","69617000000","84412000000","91242000000","124918000000","152431250000","178996000000","146243000000","146948000000","158214000000","202589270000","217960000000","255970416344.366","462070899008.669","625332175040.451","812611838954.089","1046294573489.58","1340528796932.55","1607104247636.91","1357974408000.78","1746368646002.99","2153120036894.13","2342129055768.52","2539567897419.11","2702274321141.03","2583352015699.81","2423740432360.37","2680246536533.75",
"Cote d'Ivoire","CIV","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8717334046.45591","9511528155.89029","9812593037.40784","11643235678.0142","12561641659.5932","12810553852.1194","13859395287.2785","13315937826.3621","13191578314.8918","14106458988.144","12722113544.5297","12070372276.4408","",
"Cameroon","CMR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","978957614.938283","1318556494.35168","1718019815.366","2096795400.43735","1829894902.97561","1800057044.38569","1835613604.65825","2039264004.34479","2163098409.30249","2581070639.64432","2112488393.84768","2317052634.17576","2346365286.42536","2515822942.60813","2381756628.49627","2383337897.92927","1915648603.56121","1804937904.59843","2052655977.32763","2535234363.5805","2513991429.91448","2462640613.40523","2215632488.59353","2692950690.71331","2870146901.84494","3027119812.16763","3236522856.45466","3922065263.85992","4280072703.24345","4911467921.83808","6392896631.51362","7391078954.29964","5444586279.47439","5700819696.8962","7674149280.60776","7591006877.92655","8193344313.79908","8753003878.46928","6912761527.45461","6448487020.64613","",
"Congo, Dem. Rep.","COD","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2755500000","3155300000","6566300000","7715800000","5046900000","8914800000","10379488137.3876","9049323953.20889","12053876498.5768","12745396822.5946","10600660413.3568","10124450368.8423","",
"Congo, Rep.","COG","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","380380105.843507","568715047.401487","1029252449.78466","1173320191.71005","1205740903.42383","1159373857.11134","1355214478.60757","1228572230.10016","783830125.948999","1004383618.37906","942940001.834678","1257961001.78019","1502581377.02525","1225776431.56675","1257311329.84206","1186597468.46945","1027909173.79761","1382646852.49444","1756013551.77115","1767104886.52386","1489413267.11734","1735674040.29646","2642270631.14413","2214357069.02775","2459773337.79269","2841017048.0154","3643110621.58301","4983428924.9149","6351812625.54749","5898261892.33947","8314163252.36657","6279364856.73854","9038824344.78262","11582228171.9045","10350632960.3108","9604332929.20946","9552306160.30775","5135333353.70396","","",
"Colombia","COL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","786999999.994973","879999999.994931","1018999999.9946","996887619.99147","1228281000","1588000479.99936","1947897919.97894","2180377900","2849839879.99942","3502027039.99722","4099455999.99826","4850980000","5860443699.99729","5014095160","4974154129.99881","4103000000","5328000000","4616000000","6614000000","7029000000","7008000000","7609000000","9026000000","9490400000","9694900000","10509600000","11303419869.173","12947134738.0377","13856585408.4986","15130865089.8757","14349523237.0803","14863484285.938","16834808235.1237","15962543644.1424","14949669731.7651","16250781933.953","20308786887.1815","25788805031.8476","30493863300.6231","36454895953.862","45009360243.9574","40164906013.9296","47557284802.9193","66683326701.7938","71899566934.8456","70929166233.5083","68052142395.7741","50481767824.7926","46752072748.6245","53275159326.6788",
"Comoros","COM","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","14062057.1188867","18330753.2577206","23405109.0338936","23381972.3122369","10731132.1734704","20478158.06003","28625223.8299991","27837115.1474818","40091229.1351941","39892717.0883228","38147011.5512904","51870845.9216025","51513176.8513854","55940068.9750229","42247958.2429829","49225726.8052313","","","","","","","","64099496.9316644","59763187.2054186","59544798.0431673","63493104.6736773","76802279.2992225","79676783.2857722","80891253.2115394","90665981.1226847","103434610.261803","93306451.6606549","","","","","",
